timestamp,x,y,z
0,1.37,1.52,14.15
10,1.39,2.59,14.37
20,1.44,3.12,14.19
30,1.52,3.04,13.74
40,1.59,3.12,12.92
50,1.68,3.37,11.86
60,1.87,4.08,10.46
70,2.1,5.43,8.55
80,2.4,6.7,6.15
90,2.75,7.88,3.8
100,3.11,9.14,2.36
110,3.46,8.53,2.98
120,3.91,4.82,4.25
130,4.42,0.28,4.65
140,4.3,-4.01,4.22
150,4.16,-7.81,3.31
160,4.45,-10.28,2.2
170,4.49,-11.13,0.97
180,5.18,-10.26,0.67
190,6.42,-8.62,1.53
200,7.9,-7.5,2.68
210,9.11,-5.93,4.76
220,10.1,-6.45,8.95
230,9.57,-7.26,15.5
240,8.25,-7.88,22.21
250,6.72,-7.25,27.82
260,6.01,-4.92,30.95
270,5.5,-0.8,30.98
280,5.62,2.62,28.51
290,6.41,4.44,25.23
300,7.24,6.5,21.82
310,7.69,9.15,18.88
320,7.32,11.3,16.8
330,6.62,11.49,15.58
340,5.87,10.81,15.69
350,5.8,9.68,15.94
360,5.78,8.5,14.94
370,6.27,7.89,12.93
380,6.44,7.75,9.9
390,6.36,7.81,6.51
400,6.03,7.9,2.85
410,5.66,8.33,-0.06
420,5.41,8.96,-2.15
430,5.48,9.33,-2.72
440,5.68,8.73,-2.41
450,6.3,6.26,-2.03
460,6.75,2.54,-1.23
470,7.02,-2.74,-1.18
480,6.83,-5.42,-0.34
490,6.81,-8.04,1.92
500,6.69,-10.34,4.74
510,6.02,-11.31,7.79
520,5.52,-11.61,10.25
530,5.52,-11.28,11.0
540,6.09,-9.7,11.38
550,6.34,-7.85,11.95
560,6.2,-7.06,13.02
570,5.73,-6.31,15.03
580,5.33,-5.82,16.87
590,4.61,-5.52,18.94
600,4.17,-5.2,20.73
610,3.74,-4.13,21.38
620,3.57,-2.89,21.07
630,3.43,-1.37,20.06
640,3.49,-0.55,18.7
650,3.58,0.34,16.98
660,3.51,1.29,15.51
670,3.37,1.53,14.86
680,3.32,1.77,14.56
690,3.22,2.45,14.05
700,3.29,3.47,13.36
710,3.36,4.5,12.46
720,3.54,5.84,11.77
730,3.49,7.29,11.34
740,3.71,8.32,10.92
750,3.74,9.82,10.45
760,3.74,11.17,9.94
770,3.94,10.57,9.5
780,4.15,9.02,8.92
790,4.41,8.52,7.99
800,4.69,7.91,7.04
810,4.86,7.81,6.05
820,4.97,7.54,5.01
830,5.23,6.62,3.63
840,5.28,5.14,2.17
850,5.3,2.96,1.71
860,5.3,1.11,1.91
870,5.31,-0.46,2.15
880,5.26,-1.48,3.12
890,5.32,-2.43,4.65
900,5.18,-3.31,6.42
910,4.99,-4.38,8.46
920,5.06,-5.88,9.5
930,4.72,-7.21,9.39
940,4.5,-8.41,9.0
950,4.45,-9.14,8.07
960,4.46,-10.02,6.76
970,4.65,-10.55,6.01
980,4.98,-9.96,7.07
990,5.26,-8.65,9.28
1000,5.24,-7.82,11.97
