timestamp,x,y,z
0,-0.62,-2.05,10.02
10,-0.65,-2.1,10.2
20,-0.69,-2.36,10.45
30,-0.69,-2.87,10.58
40,-0.8,-3.24,10.48
50,-0.94,-3.23,10.36
60,-1.24,-3.1,10.35
70,-1.39,-2.89,10.89
80,-1.52,-2.63,11.37
90,-1.57,-2.43,11.92
100,-1.86,-2.04,12.57
110,-1.95,-2.07,12.82
120,-1.76,-2.1,13.03
130,-1.71,-1.63,13.8
140,-1.62,-0.63,14.43
150,-1.72,0.67,14.31
160,-1.72,1.62,13.98
170,-1.68,2.44,13.68
180,-1.56,3.1,13.1
190,-1.37,3.61,12.53
200,-1.25,4.33,11.94
210,-1.03,4.98,11.33
220,-0.68,5.19,10.92
230,-0.23,4.88,10.47
240,0.12,4.22,10.13
250,0.43,3.7,10.01
260,0.83,3.36,9.64
270,1.24,3.04,8.95
280,1.65,2.85,8.25
290,1.97,2.66,7.92
300,2.29,2.28,7.77
310,2.61,1.75,7.41
320,2.84,0.86,7.01
330,2.93,-0.19,6.79
340,2.85,-1.54,6.78
350,2.72,-2.66,6.86
360,2.57,-3.46,6.8
370,2.48,-3.7,6.3
380,2.18,-3.9,5.7
390,2.04,-4.11,5.66
400,1.81,-4.08,5.62
410,1.58,-4.36,5.55
420,1.31,-4.9,5.76
430,1.06,-5.49,5.91
440,0.81,-6.24,5.93
450,0.51,-7.13,6.02
460,0.29,-7.52,6.5
470,0.12,-7.3,7.21
480,-0.26,-6.78,8.29
490,-0.52,-6.15,9.61
500,-0.66,-5.48,11.11
510,-0.94,-4.98,12.45
520,-1.09,-4.3,13.57
530,-1.42,-3.56,14.5
540,-1.58,-3.47,14.99
550,-1.77,-3.41,15.08
560,-1.71,-2.75,15.4
570,-2.23,-3.13,14.77
580,-1.87,-1.54,15.75
590,-1.94,-1.3,16.78
600,-1.85,-0.77,16.91
610,-1.55,0.11,16.63
620,-1.68,0.94,16.05
630,-1.54,0.87,15.88
640,-1.37,1.16,15.93
650,-1.25,1.75,15.72
660,-0.94,2.13,15.16
670,-0.86,3.04,14.68
680,-0.78,3.34,14.46
690,-0.63,3.25,14.32
700,-0.48,2.95,13.99
710,-0.31,2.59,13.57
720,-0.05,2.22,13.14
730,0.27,2.28,12.64
740,0.5,3.15,12.12
750,0.68,4.1,12.1
760,0.92,4.74,12.35
770,1.22,5.22,12.07
780,1.44,5.58,11.38
790,1.73,5.52,10.77
800,1.84,5.28,10.22
810,1.89,5.03,9.73
820,1.96,4.94,9.09
830,2.09,4.9,8.17
840,2.12,5.08,7.44
850,2.16,4.81,7.2
860,2.07,3.9,7.23
870,2.04,3.16,6.86
880,1.89,2.34,6.17
890,1.82,1.43,5.65
900,1.58,0.73,5.57
910,1.33,-0.07,5.63
920,1.1,-0.65,5.84
930,0.92,-1.05,6.09
940,0.79,-1.02,6.17
950,0.72,-0.96,6.07
960,0.55,-0.88,5.98
970,0.46,-1.43,5.97
980,0.49,-2.14,6.06
990,0.45,-2.69,6.32
1000,0.42,-3.09,6.56
