timestamp,x,y,z
0,1.47,0.27,6.3
10,1.52,-0.01,6.28
20,1.49,-0.17,6.65
30,1.37,-0.82,7.23
40,1.31,-1.42,7.59
50,1.21,-1.87,7.4
60,1.17,-2.43,7.06
70,1.08,-2.95,6.62
80,1.1,-3.56,6.28
90,1.21,-4.13,6.06
100,1.11,-4.79,6.12
110,1.22,-5.06,6.94
120,1.3,-5.48,8.4
130,1.45,-5.54,9.86
140,1.58,-5.18,11.35
150,1.62,-4.8,12.17
160,1.66,-4.73,12.67
170,1.54,-5.08,12.96
180,1.62,-5.13,12.9
190,1.71,-4.91,12.7
200,1.69,-4.23,13.09
210,1.73,-3.47,14.27
220,1.72,-2.64,15.71
230,1.74,-1.76,16.87
240,1.53,-0.47,17.77
250,1.65,0.85,17.99
260,1.62,1.72,17.59
270,1.49,1.89,16.8
280,1.48,2.21,15.96
290,1.47,2.64,15.62
300,1.34,2.74,15.32
310,1.72,2.91,14.95
320,1.61,4.02,14.72
330,1.65,5.0,14.93
340,1.62,5.52,14.91
350,1.71,6.27,14.39
360,1.71,6.5,13.63
370,1.92,6.14,12.63
380,2.05,6.04,11.82
390,2.19,6.54,11.52
400,2.39,6.85,11.48
410,2.7,8.03,10.86
420,2.69,8.73,10.13
430,2.79,8.03,10.21
440,2.76,7.11,9.9
450,2.8,6.23,9.04
460,2.91,5.43,8.34
470,2.98,4.58,7.72
480,2.99,4.08,7.16
490,3.05,3.58,6.88
500,3.09,3.33,6.76
510,3.02,3.12,6.49
520,2.92,2.89,6.26
530,2.78,2.6,6.15
540,2.64,1.92,6.19
550,2.41,1.21,6.25
560,2.26,0.74,6.09
570,2.06,0.44,6.02
580,1.9,0.46,6.28
590,1.72,0.38,6.6
600,1.64,-0.22,6.76
610,1.51,-0.42,6.56
620,1.47,-0.76,6.47
630,1.4,-1.32,6.34
640,1.33,-1.76,6.56
650,1.22,-2.06,7.2
660,1.19,-2.43,7.66
670,1.13,-2.91,7.86
680,1.12,-3.09,8.16
690,1.11,-3.44,8.64
700,1.14,-4.06,8.95
710,1.23,-4.47,8.92
720,1.41,-4.54,8.56
730,1.52,-4.66,7.97
740,1.69,-4.72,7.42
750,1.94,-4.7,7.91
760,2.23,-4.5,9.38
770,2.3,-3.8,11.43
780,2.29,-3.6,12.71
790,2.27,-3.5,13.41
800,2.21,-3.51,14.29
810,2.1,-3.33,15.12
820,2.15,-2.57,15.24
830,2.16,-1.39,15.03
840,2.05,-0.23,15.15
850,2.1,1.37,15.4
860,2.22,2.41,15.28
870,2.1,2.82,15.07
880,2.09,2.32,15.26
890,2.07,1.92,15.84
900,2.09,2.04,16.3
910,2.05,1.96,16.55
920,2.16,3.16,16.5
930,2.23,4.28,15.96
940,2.24,4.89,15.34
950,2.25,5.53,14.48
960,2.35,6.25,13.58
970,2.43,6.43,12.73
980,2.49,6.56,12.28
990,2.56,7.02,12.15
1000,2.57,7.1,11.88
