timestamp,x,y,z
0,2.26,-0.67,6.33
10,2.23,-2.18,6.7
20,2.47,-4.07,7.4
30,2.22,-4.65,7.74
40,2.38,-5.07,7.83
50,2.45,-4.87,7.5
60,2.51,-4.77,7.19
70,2.55,-5.06,7.08
80,2.55,-5.37,6.77
90,2.72,-6.12,6.49
100,2.85,-6.45,6.44
110,3.19,-6.64,6.43
120,3.74,-6.94,7.08
130,4.18,-7.61,8.23
140,4.58,-8.09,10.36
150,4.77,-7.73,12.37
160,4.9,-6.86,13.68
170,4.98,-6.3,14.2
180,4.91,-5.71,14.28
190,4.82,-5.76,14.29
200,4.62,-5.8,15.44
210,4.32,-5.88,16.97
220,4.37,-5.37,18.12
230,4.38,-4.13,18.52
240,4.46,-3.46,18.22
250,4.69,-2.92,17.62
260,4.98,-1.03,16.63
270,5.08,1.06,15.43
280,5.08,3.25,14.71
290,4.71,5.5,14.37
300,4.42,6.56,15.07
310,3.96,7.31,15.28
320,3.83,7.14,15.33
330,3.6,7.24,15.59
340,3.61,6.61,15.29
350,3.72,5.79,13.93
360,3.81,4.95,12.0
370,3.65,4.71,10.31
380,3.54,4.66,9.34
390,3.27,4.88,8.32
400,3.21,5.15,7.8
410,3.04,5.13,7.33
420,2.93,4.92,6.62
430,3.03,4.73,6.1
440,2.95,4.82,5.67
450,3.15,4.43,5.61
460,3.21,3.69,5.59
470,3.21,2.38,5.24
480,3.2,0.26,4.71
490,3.14,-1.61,4.28
500,2.89,-2.91,4.23
510,2.78,-3.45,4.91
520,2.86,-3.35,6.04
530,2.81,-2.22,6.59
540,2.95,-1.55,7.27
550,2.98,-1.72,7.89
560,2.9,-2.72,7.85
570,2.89,-4.48,7.14
580,3.01,-5.76,6.05
590,3.03,-6.04,5.05
600,3.21,-5.78,4.78
610,3.33,-5.19,5.21
620,3.51,-4.37,5.99
630,3.55,-3.54,6.96
640,3.71,-3.72,8.46
650,3.64,-4.51,10.25
660,3.64,-5.37,11.95
670,3.64,-6.27,13.14
680,3.65,-6.49,13.7
690,3.69,-6.51,13.86
700,3.68,-6.57,13.59
710,3.66,-6.63,13.52
720,3.55,-6.79,14.03
730,3.29,-6.46,15.39
740,3.14,-5.87,16.62
750,3.1,-4.78,16.97
760,3.14,-3.23,16.98
770,3.22,-1.99,16.96
780,3.15,-0.78,16.54
790,3.12,0.16,15.76
800,2.98,0.87,14.77
810,2.94,1.01,14.01
820,2.82,0.96,13.92
830,2.85,1.22,14.27
840,2.95,1.77,14.63
850,3.06,3.35,15.29
860,2.98,5.2,15.79
870,3.51,7.05,15.59
880,3.45,7.59,14.08
890,3.34,7.69,12.67
900,3.27,6.92,11.54
910,3.16,5.88,10.65
920,3.26,5.03,9.8
930,3.06,4.4,8.45
940,3.01,4.22,7.4
950,3.06,4.2,6.66
960,2.9,4.73,5.79
970,2.86,4.88,6.06
980,2.84,4.68,5.6
990,2.9,4.06,4.69
1000,2.73,3.14,3.95
