timestamp,x,y,z
0,0.77,-3.79,8.2
10,0.98,-3.96,7.23
20,1.13,-4.17,6.26
30,1.27,-4.42,5.64
40,1.66,-4.74,5.14
50,2.19,-4.5,5.05
60,2.62,-4.7,6.13
70,3.06,-5.44,7.58
80,3.61,-6.04,8.5
90,4.19,-6.16,9.65
100,4.32,-7.37,10.68
110,4.75,-9.0,10.82
120,5.31,-8.66,10.35
130,5.86,-7.11,10.24
140,6.25,-5.68,10.95
150,6.42,-3.79,13.04
160,6.17,-2.19,15.63
170,5.75,-1.53,17.74
180,5.51,-2.14,18.59
190,5.39,-3.0,18.71
200,5.39,-3.13,18.63
210,5.37,-2.99,18.59
220,5.8,-2.82,18.19
230,6.29,-1.52,17.36
240,6.79,0.72,16.41
250,6.86,3.66,15.07
260,6.94,6.29,14.5
270,6.44,9.08,14.78
280,5.74,10.45,15.74
290,5.06,10.8,16.85
300,4.68,10.01,16.74
310,4.72,8.87,16.22
320,4.83,7.38,15.25
330,5.07,6.41,14.48
340,5.31,5.62,12.93
350,5.51,4.87,11.16
360,5.37,4.82,9.87
370,5.33,4.34,8.09
380,5.02,3.37,5.98
390,4.6,2.57,3.97
400,4.06,2.27,2.24
410,3.56,2.31,1.26
420,3.1,2.26,1.12
430,2.54,4.7,-6.41
440,6.58,-2.54,-5.8
450,4.89,-3.11,-0.41
460,1.05,3.2,7.05
470,1.92,2.63,10.76
480,2.42,-2.28,9.5
490,2.0,-5.32,7.87
500,1.96,-7.53,7.63
510,1.48,-8.15,7.2
520,1.19,-7.15,6.9
530,1.09,-5.91,6.61
540,1.13,-4.87,5.43
550,1.45,-4.48,4.67
560,1.65,-4.24,4.82
570,2.43,-2.55,5.83
580,2.38,-2.22,8.03
590,2.65,-4.64,8.86
600,3.19,-6.86,8.25
610,3.66,-8.07,8.43
620,4.16,-7.86,8.81
630,4.82,-6.73,9.28
640,5.34,-5.42,10.47
650,5.72,-4.0,12.52
660,5.77,-2.84,14.68
670,5.59,-2.58,17.14
680,5.19,-2.9,19.57
690,4.81,-2.87,21.59
700,4.59,-2.27,22.26
710,4.48,-2.01,21.67
720,4.62,-2.14,20.2
730,5.06,-2.09,17.91
740,5.43,-1.37,15.85
750,5.69,0.0,14.45
760,5.6,2.04,13.56
770,5.42,4.24,13.05
780,5.0,6.05,12.81
790,4.51,6.76,13.18
800,4.05,7.28,13.97
810,3.62,7.29,14.67
820,3.5,6.83,14.85
830,3.5,5.89,13.97
840,3.68,5.23,12.34
850,3.7,4.71,10.33
860,3.71,4.41,8.41
870,3.48,4.57,6.72
880,3.22,4.79,5.4
890,2.88,5.12,4.88
900,2.57,5.24,4.79
910,2.51,5.12,4.49
920,2.65,4.82,4.11
930,2.7,4.96,3.57
940,2.88,4.81,3.6
950,3.07,3.83,3.7
960,3.25,2.26,4.35
970,3.39,0.26,5.05
980,3.3,-1.64,5.78
990,3.16,-3.87,6.7
1000,3.11,-5.54,7.21
