timestamp,x,y,z
0,7.67,6.11,17.54
10,7.31,8.37,17.99
20,6.68,9.42,18.53
30,6.46,8.91,18.51
40,6.49,7.83,16.97
50,6.77,7.56,15.57
60,6.95,7.43,14.18
70,7.21,7.09,12.16
80,7.25,6.23,9.12
90,6.71,5.57,6.36
100,5.96,4.46,3.97
110,5.03,3.78,2.29
120,4.07,3.35,1.4
130,3.33,3.14,0.77
140,2.89,3.1,0.36
150,2.58,3.09,-0.04
160,2.67,2.89,-0.1
170,3.03,2.21,-0.42
180,3.38,1.2,-0.44
190,3.76,-0.39,0.63
200,3.97,-2.36,1.98
210,4.08,-4.25,2.84
220,4.37,-6.3,3.91
230,4.66,-8.46,4.78
240,5.03,-10.03,5.37
250,5.53,-10.63,5.89
260,5.85,-11.18,6.76
270,6.71,-10.62,7.24
280,7.37,-9.38,7.82
290,7.75,-8.02,8.8
300,8.25,-6.99,10.22
310,8.52,-6.02,12.21
320,8.21,-4.36,14.4
330,7.65,-3.51,16.95
340,6.75,-3.4,19.63
350,6.19,-4.56,21.43
360,5.99,-5.35,21.49
370,6.0,-5.27,20.61
380,6.28,-4.73,19.31
390,6.72,-4.37,18.03
400,7.32,-2.31,16.48
410,7.39,0.73,15.31
420,7.09,4.1,15.27
430,6.32,6.88,15.9
440,5.29,8.77,17.21
450,4.58,9.86,18.22
460,4.28,8.7,18.45
470,4.46,7.5,17.24
480,4.87,6.25,15.8
490,5.1,5.3,14.38
500,5.11,5.46,12.46
510,4.92,6.14,10.39
520,4.64,6.7,8.78
530,4.23,6.59,7.19
540,3.85,6.09,6.12
550,3.52,5.5,5.11
560,3.28,4.64,3.85
570,3.13,3.45,2.67
580,3.06,2.38,2.23
590,2.91,2.07,2.9
600,2.79,1.4,3.48
610,2.89,0.0,3.64
620,3.11,-0.95,2.89
630,3.29,-1.66,1.76
640,3.39,-2.39,1.7
650,3.37,-3.59,2.59
660,3.2,-4.83,3.73
670,3.2,-6.24,4.13
680,3.27,-7.62,4.26
690,3.2,-9.28,4.6
700,3.16,-10.23,5.4
710,3.26,-9.97,6.56
720,3.59,-8.79,7.0
730,4.26,-7.58,7.0
740,4.81,-6.69,7.03
750,5.35,-6.27,7.24
760,6.1,-6.04,8.82
770,6.51,-5.82,10.82
780,6.56,-5.18,13.47
790,6.34,-4.26,16.62
800,5.8,-3.48,18.96
810,5.36,-3.59,20.01
820,5.04,-3.9,20.01
830,5.03,-4.5,19.16
840,5.33,-4.48,17.54
850,5.53,-4.48,16.18
860,5.62,-4.36,16.2
870,5.8,-4.28,16.64
880,6.21,-3.78,16.63
890,6.55,-2.09,16.07
900,6.78,0.09,15.92
910,6.62,3.1,16.05
920,6.23,5.3,16.63
930,5.75,7.42,17.12
940,5.13,8.48,16.81
950,5.05,8.59,15.57
960,5.08,7.75,13.93
970,5.26,6.57,12.87
980,5.41,6.19,12.32
990,5.51,6.26,11.69
1000,5.56,5.88,10.78
