timestamp,x,y,z
0,4.86,8.25,8.6
10,4.64,7.91,8.16
20,4.76,7.97,8.15
30,5.21,8.05,7.88
40,5.81,7.52,6.5
50,6.1,6.49,3.75
60,6.2,4.68,0.64
70,6.41,3.43,-1.62
80,6.3,2.77,-2.67
90,6.27,1.86,-3.11
100,6.56,0.26,-2.98
110,6.85,-1.87,-2.35
120,7.35,-4.39,-1.46
130,8.14,-6.93,-0.26
140,8.72,-10.67,1.19
150,9.36,-14.55,2.51
160,10.38,-16.32,2.47
170,10.99,-18.58,2.51
180,11.99,-19.56,2.7
190,13.41,-16.73,3.5
200,14.37,-12.52,5.83
210,14.92,-9.46,8.39
220,14.95,-6.87,11.15
230,14.04,-4.27,14.58
240,13.29,-2.28,19.12
250,12.5,-1.46,23.59
260,11.34,-1.71,26.57
270,10.37,-2.51,27.27
280,10.22,-1.39,26.36
290,9.68,0.99,24.04
300,8.88,4.22,21.12
310,7.89,6.35,19.14
320,6.96,7.96,19.5
330,6.69,9.9,20.08
340,5.82,10.76,19.74
350,5.95,11.65,19.75
360,5.32,11.82,17.41
370,4.88,11.1,14.11
380,4.9,9.4,11.29
390,5.33,8.17,10.01
400,5.68,7.35,8.93
410,5.92,7.1,7.77
420,6.25,6.59,6.59
430,6.56,6.06,5.23
440,6.69,5.25,3.56
450,7.01,4.65,1.7
460,6.96,4.54,-0.36
470,6.82,4.37,-1.64
480,7.06,3.74,-2.09
490,7.4,2.93,-1.87
500,8.01,1.77,-1.14
510,8.62,-0.15,-0.14
520,8.65,-2.25,0.96
530,8.49,-4.62,2.19
540,8.39,-6.93,3.49
550,8.3,-9.87,4.88
560,8.62,-12.99,5.39
570,8.76,-13.65,3.67
580,8.81,-13.8,2.83
590,10.04,-12.77,3.6
600,10.72,-11.74,4.36
610,11.67,-10.07,6.16
620,12.17,-9.29,8.13
630,12.66,-8.53,10.43
640,12.87,-6.92,14.21
650,11.95,-4.86,18.4
660,11.42,-3.87,22.91
670,11.07,-3.78,27.07
680,10.36,-3.77,28.23
690,9.81,-3.49,26.68
700,10.0,-2.51,24.32
710,10.37,-0.86,21.23
720,10.22,1.39,17.73
730,9.67,3.84,14.99
740,8.72,5.19,14.18
750,7.85,5.94,15.21
760,6.55,7.52,16.68
770,5.92,9.16,17.91
780,5.46,10.5,17.42
790,5.01,11.52,15.85
800,5.15,12.35,14.03
810,5.16,12.58,12.6
820,5.82,11.74,10.99
830,6.4,10.32,8.76
840,6.59,9.03,6.34
850,6.82,8.09,4.74
860,6.75,7.81,3.35
870,6.65,7.65,2.4
880,6.65,7.63,1.75
890,7.1,7.32,0.92
900,7.67,6.31,0.04
910,8.23,4.69,-0.32
920,8.63,2.81,-0.02
930,8.99,0.79,0.79
940,9.02,-1.35,1.9
950,8.85,-3.5,2.46
960,8.62,-5.49,2.74
970,8.52,-6.99,3.12
980,8.36,-8.33,3.75
990,8.04,-10.83,4.78
1000,8.71,-13.52,4.89
