timestamp,x,y,z
0,3.21,-1.36,2.89
10,2.98,-2.73,4.32
20,2.97,-3.42,5.26
30,3.1,-3.75,5.61
40,3.44,-4.02,5.81
50,3.73,-4.3,5.7
60,4.07,-4.56,5.96
70,4.36,-4.48,6.51
80,4.64,-4.33,6.88
90,5.5,-4.17,6.77
100,6.12,-3.66,6.68
110,6.78,-2.65,7.29
120,7.35,-1.48,8.53
130,7.78,-1.29,9.82
140,8.04,-1.47,11.69
150,8.02,-2.29,14.17
160,7.93,-3.46,16.3
170,7.99,-3.96,17.78
180,8.05,-3.35,18.25
190,8.07,-2.54,17.75
200,8.22,-1.99,16.69
210,8.4,-1.87,15.76
220,8.43,-1.69,14.91
230,8.52,-1.04,14.37
240,8.48,-0.38,14.65
250,8.24,0.51,15.64
260,7.98,1.2,16.34
270,7.8,1.9,17.24
280,7.59,3.59,17.46
290,7.69,5.06,16.86
300,7.65,6.76,16.29
310,7.34,8.02,16.29
320,7.24,8.12,15.99
330,7.4,8.02,15.69
340,7.53,7.75,15.34
350,7.93,7.3,13.97
360,8.4,6.22,12.06
370,8.5,5.43,9.67
380,8.22,4.72,7.05
390,7.44,4.98,5.0
400,6.39,5.39,4.23
410,5.66,5.26,4.77
420,5.05,4.71,5.01
430,4.43,3.89,4.38
440,3.92,2.77,3.45
450,3.45,1.43,3.1
460,3.17,0.09,3.09
470,2.94,-1.01,3.21
480,2.77,-1.83,3.54
490,2.66,-1.67,4.38
500,2.34,-1.41,5.46
510,2.38,-0.18,5.26
520,2.11,0.39,4.85
530,2.39,-0.07,5.42
540,2.63,-1.26,5.99
550,2.65,-3.24,6.56
560,2.81,-5.27,6.92
570,2.99,-6.83,6.14
580,3.32,-7.72,5.02
590,4.21,-7.94,4.36
600,4.87,-7.58,4.6
610,5.67,-6.34,6.08
620,6.28,-4.96,7.26
630,6.82,-3.99,8.22
640,7.28,-3.35,9.35
650,7.82,-2.85,10.41
660,8.19,-2.66,11.44
670,8.38,-2.48,12.57
680,8.44,-2.57,13.9
690,8.49,-3.36,15.59
700,8.35,-3.59,17.59
710,8.15,-3.39,18.69
720,7.96,-2.96,18.91
730,8.1,-2.74,18.63
740,8.46,-1.86,17.67
750,8.97,0.4,16.04
760,8.73,3.18,14.94
770,8.13,4.17,14.73
780,7.57,3.49,14.65
790,7.22,2.05,14.1
800,7.14,1.36,13.61
810,7.07,2.41,13.78
820,6.61,4.27,14.63
830,6.12,6.13,15.83
840,5.8,7.51,16.54
850,5.96,7.39,16.86
860,6.43,7.21,15.83
870,6.58,6.68,14.66
880,7.2,5.56,13.22
890,7.56,4.8,11.16
900,7.56,4.33,9.32
910,7.2,3.66,7.35
920,6.55,3.38,6.08
930,5.83,3.09,5.22
940,5.2,2.63,4.3
950,4.34,2.65,3.86
960,3.79,2.72,3.75
970,3.7,2.79,3.56
980,3.72,2.81,3.13
990,3.85,2.28,2.41
1000,3.89,0.67,1.89
