timestamp,x,y,z
0,5.13,-4.56,8.39
10,5.44,-5.57,9.01
20,5.75,-6.43,9.62
30,6.07,-6.52,10.21
40,6.55,-5.53,10.85
50,6.79,-4.64,11.66
60,6.86,-4.57,12.86
70,6.91,-4.97,14.19
80,6.95,-4.47,14.97
90,6.99,-3.74,15.48
100,7.12,-3.25,15.48
110,7.14,-3.16,16.28
120,7.14,-2.53,17.05
130,7.29,-1.48,17.11
140,7.54,0.29,16.93
150,7.5,2.72,16.79
160,7.18,5.25,17.13
170,6.84,6.64,17.27
180,6.6,8.25,17.4
190,6.37,9.13,17.48
200,5.94,9.67,16.56
210,6.14,8.44,15.84
220,6.42,6.73,15.33
230,7.02,5.56,13.95
240,7.19,4.76,11.67
250,7.1,3.95,9.15
260,6.77,3.62,6.88
270,6.15,3.94,5.25
280,5.38,4.67,4.0
290,4.79,5.44,3.27
300,4.53,6.1,2.46
310,4.34,5.92,1.52
320,4.44,4.79,0.89
330,4.57,3.49,0.7
340,4.45,1.76,1.27
350,4.48,-0.65,2.44
360,4.21,-2.99,3.94
370,3.92,-5.09,5.53
380,3.54,-6.68,6.67
390,3.46,-7.58,7.27
400,3.46,-7.02,6.99
410,3.63,-5.55,6.17
420,3.87,-4.87,5.78
430,4.14,-4.67,5.6
440,4.39,-4.21,5.47
450,4.8,-4.27,5.42
460,5.11,-4.88,5.77
470,5.56,-5.48,6.55
480,6.07,-5.95,7.73
490,6.59,-5.05,8.88
500,6.85,-3.84,10.16
510,7.12,-3.36,11.24
520,7.27,-3.52,12.52
530,7.56,-4.23,13.46
540,7.95,-3.88,14.38
550,8.14,-3.08,15.53
560,7.89,-2.66,17.24
570,7.71,-2.67,18.4
580,7.84,-2.09,19.04
590,7.84,-0.38,18.55
600,7.95,1.33,18.01
610,8.09,2.43,17.26
620,8.0,2.83,16.36
630,8.03,2.73,15.8
640,7.78,2.39,15.7
650,7.76,2.65,15.32
660,7.79,3.76,13.86
670,7.66,4.53,13.21
680,7.11,6.37,12.69
690,6.57,6.72,13.2
700,6.27,6.22,13.91
710,6.17,5.71,14.64
720,6.24,5.84,15.37
730,6.46,5.93,14.95
740,7.04,6.0,13.22
750,7.62,5.61,10.52
760,7.87,4.79,7.35
770,7.78,4.22,4.34
780,7.02,3.43,2.37
790,6.12,2.94,1.64
800,5.2,2.85,2.2
810,4.51,2.88,2.94
820,3.93,2.79,3.6
830,3.53,2.69,4.12
840,3.44,2.29,3.68
850,3.36,1.28,2.46
860,3.16,-0.21,1.75
870,2.92,-1.59,1.6
880,2.54,-3.2,2.85
890,2.32,-3.84,5.25
900,2.08,-3.7,7.02
910,2.14,-3.32,7.94
920,2.52,-2.7,8.18
930,2.66,-2.88,7.72
940,3.01,-4.22,6.32
950,3.53,-6.35,3.72
960,4.3,-7.37,2.35
970,4.6,-7.13,3.13
980,5.31,-5.66,4.91
990,6.25,-4.2,7.27
1000,7.13,-4.28,10.14
