timestamp,x,y,z
0,1.02,-6.95,9.4
10,0.83,-7.3,9.48
20,0.78,-7.7,9.36
30,0.81,-8.02,9.29
40,0.94,-8.01,9.79
50,1.03,-7.64,11.14
60,0.94,-6.96,13.33
70,0.73,-5.92,15.18
80,0.43,-4.75,16.22
90,0.26,-3.56,17.1
100,0.01,-2.46,17.96
110,-0.12,-1.88,18.17
120,-0.15,-1.8,18.04
130,-0.09,-1.77,17.52
140,-0.03,-1.55,16.87
150,-0.04,-1.33,16.59
160,0.11,-0.85,16.79
170,0.24,0.22,17.21
180,0.42,1.62,17.65
190,0.57,2.89,17.64
200,0.73,4.19,17.09
210,0.99,6.17,16.01
220,0.8,7.43,15.06
230,0.68,7.48,14.51
240,0.74,6.91,13.75
250,0.78,6.85,13.06
260,0.85,6.19,12.94
270,1.08,5.95,13.14
280,1.31,6.76,12.83
290,1.64,7.06,12.25
300,1.69,7.4,11.84
310,1.64,7.78,11.5
320,1.66,7.72,11.14
330,1.8,7.07,10.39
340,1.96,6.37,9.39
350,2.05,6.0,8.36
360,2.09,5.88,7.67
370,2.21,5.76,7.18
380,2.27,5.59,6.83
390,2.4,5.01,6.65
400,2.53,4.26,6.42
410,2.72,3.4,5.87
420,7.07,-6.56,-11.01
430,4.78,-0.48,2.47
440,1.39,2.99,8.04
450,3.17,3.53,7.3
460,4.23,3.27,7.92
470,3.93,-1.57,6.48
480,3.2,-2.28,5.23
490,3.08,-3.98,4.19
500,2.5,-5.48,3.78
510,2.22,-5.71,3.72
520,1.93,-5.2,4.36
530,1.76,-4.65,5.29
540,1.66,-4.09,6.49
550,1.54,-3.78,7.44
560,1.54,-4.1,7.92
570,1.52,-4.96,8.58
580,1.45,-5.77,9.48
590,1.18,-6.56,10.22
600,0.97,-7.23,10.81
610,0.88,-7.22,11.37
620,0.64,-6.43,12.28
630,0.36,-5.67,13.35
640,0.14,-4.87,14.18
650,0.02,-4.53,14.71
660,0.04,-4.47,15.14
670,0.09,-4.11,15.28
680,0.08,-3.63,15.44
690,0.07,-3.01,15.96
700,-0.02,-2.42,16.56
710,-0.16,-2.27,16.81
720,-0.04,-1.89,16.86
730,0.07,-1.34,16.31
740,0.15,-0.6,15.94
750,0.36,1.0,16.01
760,0.25,1.1,15.47
770,0.75,2.63,15.27
780,0.87,3.02,14.86
790,0.92,3.56,14.65
800,0.85,3.85,14.76
810,0.73,4.49,14.65
820,0.82,4.45,14.36
830,0.86,4.42,13.93
840,1.15,4.54,13.04
850,1.34,5.09,11.9
860,1.62,5.88,10.69
870,1.61,6.78,9.69
880,1.49,7.13,9.22
890,1.5,7.15,8.66
900,1.5,6.95,7.73
910,1.48,6.53,7.23
920,1.57,5.84,6.96
930,1.71,4.99,6.85
940,1.74,4.49,6.75
950,1.86,3.35,6.78
960,1.98,2.14,6.8
970,1.89,1.24,6.93
980,1.73,0.88,7.17
990,1.61,0.96,7.1
1000,1.55,0.99,7.03
