timestamp,x,y,z
0,2.08,-3.58,5.35
10,2.83,-5.12,7.31
20,3.75,-6.03,10.53
30,4.1,-6.03,12.46
40,4.13,-5.36,12.11
50,3.82,-4.63,10.97
60,3.83,-3.89,10.99
70,3.97,-3.66,11.95
80,3.68,-4.12,12.72
90,3.24,-4.89,12.79
100,3.31,-4.74,12.21
110,2.75,-6.34,10.81
120,3.39,-7.46,10.98
130,3.59,-7.37,11.08
140,3.43,-6.21,11.81
150,3.9,-4.74,12.94
160,4.24,-2.67,13.73
170,4.01,-0.9,13.87
180,4.04,0.28,13.97
190,4.33,0.85,13.96
200,4.35,1.02,13.76
210,3.87,0.76,13.4
220,3.44,0.08,13.0
230,2.96,-0.79,12.7
240,2.59,-1.37,12.52
250,2.43,-1.06,12.45
260,2.1,-0.37,12.43
270,2.51,0.57,12.52
280,3.15,1.98,11.94
290,3.84,3.48,10.79
300,3.97,5.3,10.29
310,4.5,5.69,10.66
320,4.94,4.65,11.43
330,4.09,4.07,12.46
340,3.75,4.04,13.47
350,3.71,4.3,14.27
360,3.39,5.05,14.03
370,3.16,5.97,13.33
380,3.27,7.03,12.8
390,3.85,7.47,11.57
400,4.36,7.36,9.33
410,4.49,6.8,7.07
420,3.86,6.37,6.07
430,3.75,6.27,6.86
440,3.88,6.1,7.69
450,3.68,5.55,8.07
460,3.39,4.94,8.06
470,3.12,4.25,7.67
480,2.88,3.55,6.6
490,2.72,2.95,5.3
500,2.56,2.7,4.02
510,2.34,2.59,3.11
520,2.2,1.95,2.98
530,2.24,0.94,3.92
540,2.41,-0.06,5.38
550,2.38,-1.44,6.76
560,2.04,-3.09,8.02
570,1.93,-4.14,8.49
580,1.64,-4.43,7.66
590,1.26,-4.33,6.29
600,1.13,-4.06,6.39
610,1.86,-3.62,8.4
620,3.08,-3.44,11.08
630,3.04,-3.28,12.49
640,2.99,-2.78,12.55
650,3.13,-3.06,11.82
660,2.68,-3.23,10.77
670,2.63,-4.05,10.16
680,2.45,-5.09,10.53
690,2.76,-5.24,11.67
700,2.94,-4.86,13.73
710,3.0,-4.21,14.96
720,3.01,-3.07,15.08
730,2.74,-1.99,14.45
740,2.33,-1.3,13.53
750,2.03,-1.13,12.67
760,1.51,-1.35,12.15
770,1.26,-1.59,11.9
780,1.19,-1.92,11.63
790,1.07,-1.82,11.55
800,1.07,-1.43,11.77
810,1.07,-0.72,12.25
820,1.02,0.22,12.75
830,0.99,0.98,13.16
840,0.86,1.42,13.7
850,0.84,1.67,14.13
860,1.05,1.97,14.19
870,1.25,2.33,13.59
880,1.33,2.66,12.49
890,1.47,2.66,11.2
900,1.53,2.73,10.76
910,1.99,2.96,11.02
920,2.38,3.7,11.3
930,2.66,4.79,11.49
940,2.8,6.06,11.82
950,2.96,6.7,12.11
960,3.02,6.37,11.61
970,3.19,6.04,10.71
980,3.4,5.73,10.36
990,3.55,5.13,10.03
1000,3.26,4.94,9.84
