timestamp,x,y,z
0,-1.44,1.55,10.5
10,-1.17,1.06,11.09
20,-0.61,0.67,11.48
30,0.16,0.4,11.4
40,1.04,0.22,11.1
50,1.89,-0.11,10.92
60,2.64,-0.48,10.88
70,3.09,-0.7,11.19
80,3.27,-0.5,11.53
90,3.42,-0.11,11.57
100,4.02,0.44,11.56
110,5.37,0.39,11.61
120,6.58,-0.52,11.55
130,7.38,-2.01,11.35
140,7.87,-2.89,11.37
150,7.71,-2.84,11.03
160,7.1,-1.92,10.38
170,6.51,-0.51,9.44
180,6.14,1.2,8.61
190,6.41,2.83,8.04
200,7.55,3.6,7.72
210,8.99,3.57,7.5
220,10.35,2.34,7.2
230,10.56,0.24,6.37
240,10.42,1.29,6.69
250,10.14,2.82,6.7
260,9.64,3.7,6.39
270,10.4,5.64,6.53
280,12.08,6.8,7.06
290,14.0,6.56,7.67
300,15.89,6.33,8.49
310,17.43,6.84,9.39
320,18.33,6.83,10.07
330,18.71,5.66,10.04
340,18.78,4.0,10.01
350,18.39,2.49,9.88
360,17.59,1.42,9.57
370,16.51,0.69,8.93
380,15.55,0.29,7.99
390,14.62,0.47,6.71
400,13.4,0.81,4.79
410,12.4,0.86,3.98
420,11.81,0.82,3.75
430,11.85,0.74,4.23
440,11.74,0.79,6.85
450,11.03,0.35,6.97
460,10.86,-0.16,6.66
470,10.81,-0.42,6.66
480,10.59,-0.71,6.85
490,10.14,-0.69,6.97
500,9.67,-0.52,7.02
510,9.25,-0.53,6.83
520,8.79,-0.47,6.54
530,8.44,-0.44,6.28
540,8.18,-0.72,6.14
550,7.92,-0.81,6.27
560,7.68,-0.66,6.5
570,7.54,-0.79,6.76
580,7.44,-1.06,6.94
590,7.39,-1.24,7.07
600,7.39,-1.51,7.21
610,7.37,-1.71,7.39
620,7.26,-1.98,7.54
630,7.15,-2.06,7.7
640,7.01,-2.18,7.79
650,6.87,-2.4,7.84
660,6.73,-2.54,7.81
670,6.64,-2.6,7.73
680,6.57,-2.75,7.64
690,6.52,-2.92,7.59
700,6.47,-3.09,7.5
710,6.33,-3.26,7.39
720,6.16,-3.39,7.2
730,6.05,-3.39,7.07
740,6.04,-3.44,6.97
750,6.08,-3.66,6.93
760,6.09,-4.01,6.9
770,6.03,-4.26,6.88
780,5.91,-4.33,6.79
790,5.74,-4.42,6.58
800,5.46,-4.5,6.17
810,5.2,-4.61,5.69
820,5.02,-4.59,5.26
830,4.97,-4.63,4.85
840,4.91,-4.83,4.59
850,4.81,-5.03,4.39
860,4.34,-5.71,4.38
870,3.95,-5.87,4.65
880,3.57,-5.83,5.22
890,3.26,-5.74,6.18
900,2.81,-5.92,7.23
910,2.32,-6.28,8.03
920,1.85,-6.51,8.34
930,1.39,-6.53,8.39
940,1.07,-6.36,8.49
950,0.97,-6.09,8.7
960,0.89,-5.84,9.04
970,0.82,-5.72,9.26
980,0.65,-5.66,9.39
990,0.5,-5.59,9.53
1000,0.28,-6.04,9.48
