timestamp,x,y,z
0,-5.16,3.53,12.07
10,-8.31,3.27,10.94
20,-11.25,3.78,9.63
30,-13.83,4.15,9.35
40,-15.57,4.14,9.84
50,-16.69,4.05,11.2
60,-17.34,3.92,12.69
70,-17.57,3.81,14.1
80,-17.42,4.95,15.74
90,-16.74,5.77,16.94
100,-15.4,6.56,17.84
110,-13.26,6.65,17.78
120,-10.75,6.21,16.41
130,-8.25,5.8,14.18
140,-6.28,5.41,11.9
150,-4.83,4.92,9.71
160,-3.86,4.27,8.0
170,-3.13,3.79,6.86
180,-2.43,3.81,6.4
190,-1.62,4.45,6.71
200,-0.61,5.21,7.55
210,0.61,5.76,8.47
220,1.8,5.94,9.28
230,3.16,5.85,9.86
240,4.67,5.64,10.47
250,6.12,5.26,11.03
260,7.39,4.96,11.5
270,8.35,4.79,11.67
280,8.98,4.61,11.49
290,9.21,4.2,11.07
300,9.18,3.66,10.47
310,8.94,3.13,9.77
320,8.65,2.83,9.16
330,8.47,2.7,8.75
340,8.55,2.72,8.58
350,8.85,2.65,8.66
360,9.24,2.26,8.76
370,9.7,1.93,8.86
380,10.09,1.56,8.74
390,10.39,1.24,8.46
400,10.39,0.71,7.99
410,10.06,0.25,7.48
420,9.34,0.27,6.98
430,8.49,0.49,6.66
440,7.74,0.71,6.57
450,7.2,1.01,6.81
460,6.86,1.15,7.24
470,6.76,1.17,7.78
480,6.81,1.02,8.32
490,6.85,0.8,8.69
500,6.79,0.7,8.8
510,6.71,0.77,8.66
520,6.63,1.02,8.38
530,6.63,1.41,8.2
540,6.82,1.75,8.15
550,7.18,1.89,8.37
560,7.65,1.79,8.81
570,8.03,1.51,9.3
580,8.22,1.34,9.69
590,8.13,1.36,9.79
600,7.82,1.51,9.76
610,7.35,1.79,9.61
620,6.69,2.01,9.54
630,5.83,1.94,9.59
640,4.54,1.57,9.86
650,2.88,1.23,10.18
660,0.88,1.23,10.4
670,-1.33,1.6,10.54
680,-3.43,2.28,10.61
690,-5.23,2.96,10.53
700,-6.45,3.48,10.73
710,-6.94,3.54,11.22
720,-6.65,2.96,11.98
730,-5.66,1.75,12.66
740,-4.42,0.54,12.88
750,-3.41,-0.25,12.47
760,-2.85,-0.52,11.51
770,-2.6,-0.48,10.44
780,-2.47,-0.31,9.54
790,-2.36,-0.28,8.9
800,-2.12,-0.4,8.62
810,-1.76,-0.63,8.68
820,-1.37,-0.85,8.97
830,-1.03,-0.96,9.22
840,-0.83,-0.86,9.44
850,-0.74,-0.63,9.49
860,-0.76,-0.46,9.46
870,-0.73,-0.34,9.44
880,-0.63,-0.27,9.39
890,-0.4,-0.24,9.35
900,-0.03,-0.34,9.33
910,0.38,-0.56,9.26
920,0.84,-0.79,9.14
930,1.23,-1.01,8.98
940,1.51,-1.13,8.86
950,1.72,-1.07,8.71
960,1.79,-0.97,8.6
970,1.87,-0.86,8.63
980,1.96,-0.88,8.66
990,2.05,-1.11,8.67
1000,2.13,-1.35,8.57
