timestamp,x,y,z
0,-2.25,-8.39,5.06
10,-2.16,-8.51,5.05
20,-2.39,-8.53,4.72
30,-2.67,-8.38,4.14
40,-3.04,-8.31,3.67
50,-3.21,-8.27,3.46
60,-3.17,-8.19,3.61
70,-2.99,-8.27,3.87
80,-2.91,-8.33,3.97
90,-3.02,-8.22,3.8
100,-3.48,-8.11,3.26
110,-4.23,-7.9,2.55
120,-5.0,-7.35,2.02
130,-5.58,-6.74,1.72
140,-6.03,-6.24,1.76
150,-6.36,-5.94,1.92
160,-6.67,-5.7,2.17
170,-7.0,-5.39,2.42
180,-7.37,-5.04,2.52
190,-7.77,-4.71,2.54
200,-8.09,-4.37,2.51
210,-8.5,-4.25,2.41
220,-8.94,-3.7,2.33
230,-9.53,-2.77,2.07
240,-10.35,-1.89,1.44
250,-11.37,-0.69,0.65
260,-12.92,0.42,-0.25
270,-14.93,1.93,-0.97
280,-17.02,3.86,-1.29
290,-18.98,6.2,-1.07
300,-20.75,9.01,0.41
310,-21.76,12.03,2.79
320,-22.12,14.72,6.39
330,-21.82,20.08,14.73
340,-19.03,19.81,15.92
350,-15.69,19.68,14.46
360,-12.38,22.16,13.57
370,-7.26,24.5,13.01
380,-0.22,26.33,13.07
390,8.2,27.27,14.7
400,18.36,27.01,17.85
410,28.47,24.01,20.59
420,35.78,16.48,20.26
430,36.4,6.28,18.4
440,31.74,-1.37,15.63
450,26.24,-1.77,11.26
460,22.51,2.12,7.25
470,21.57,4.57,5.54
480,23.08,4.15,6.17
490,25.4,2.5,8.04
500,27.67,1.07,10.29
510,28.9,-0.31,11.28
520,29.07,-1.97,9.97
530,27.89,-3.09,6.63
540,25.91,-2.54,2.71
550,24.29,-1.68,0.18
560,23.2,-1.76,-0.3
570,22.86,-1.38,0.97
580,22.87,-0.8,2.94
590,22.44,-0.49,4.95
600,21.45,0.03,6.86
610,19.82,1.15,8.58
620,17.61,2.06,9.62
630,15.3,3.08,9.88
640,13.37,4.15,9.99
650,12.0,4.5,10.42
660,11.04,4.51,11.36
670,9.96,4.4,12.9
680,8.28,4.24,15.06
690,6.0,5.14,17.77
700,3.47,6.96,20.82
710,0.65,8.33,23.44
720,-2.03,8.76,25.23
730,-3.88,8.46,25.35
740,-6.01,7.43,24.48
750,-7.83,6.2,21.89
760,-10.12,5.49,18.45
770,-13.4,5.74,15.07
780,-16.4,6.0,12.86
790,-18.83,5.83,11.88
800,-19.83,5.41,12.24
810,-18.86,5.18,14.06
820,-16.78,3.95,15.95
830,-14.58,1.99,16.65
840,-13.03,0.44,15.72
850,-12.77,-0.18,13.76
860,-13.34,0.12,11.83
870,-13.62,1.12,10.77
880,-12.76,2.19,10.88
890,-10.72,2.61,11.92
900,-8.2,2.63,13.27
910,-5.59,2.48,14.47
920,-3.35,1.9,15.04
930,-1.71,1.32,15.18
940,-0.57,1.44,14.9
950,0.24,2.19,14.73
960,0.71,2.43,15.11
970,0.85,2.44,15.94
980,1.03,2.97,16.88
990,1.41,3.87,17.71
1000,1.6,4.63,17.78
