timestamp,x,y,z
0,-2.72,-2.02,8.52
10,-3.22,-1.76,8.6
20,-3.83,-1.69,8.68
30,-4.54,-1.69,8.7
40,-5.39,-1.87,8.69
50,-6.27,-1.77,8.87
60,-7.18,-1.34,9.14
70,-8.16,-1.09,9.56
80,-9.11,-0.54,10.23
90,-10.0,0.33,10.84
100,-10.91,1.11,11.32
110,-11.89,1.68,11.9
120,-12.32,2.02,12.07
130,-12.81,2.81,12.43
140,-13.19,3.88,12.54
150,-13.29,5.16,12.39
160,-13.04,6.4,12.11
170,-12.45,6.98,11.66
180,-11.51,7.2,11.2
190,-10.32,7.16,10.69
200,-9.04,7.19,10.1
210,-7.49,7.58,9.52
220,-5.66,7.89,9.03
230,-3.96,7.91,8.54
240,-2.16,8.34,8.1
250,0.4,8.95,7.75
260,3.48,9.25,7.76
270,7.13,9.46,8.24
280,10.62,8.88,8.67
290,13.89,7.87,8.9
300,17.11,7.04,9.28
310,19.55,6.0,10.34
320,21.52,4.77,11.97
330,23.06,3.37,13.34
340,23.78,2.43,13.93
350,24.3,3.03,13.52
360,24.62,3.66,12.59
370,24.9,3.45,12.4
380,25.26,2.96,13.39
390,25.67,2.49,14.62
400,25.74,2.18,15.62
410,24.9,2.05,15.92
420,22.9,2.03,15.37
430,19.95,2.59,13.92
440,16.73,3.37,12.16
450,13.55,3.43,10.77
460,10.8,2.94,10.28
470,8.57,2.42,10.71
480,7.19,2.88,12.08
490,6.07,3.64,14.01
500,4.15,3.97,16.03
510,1.15,4.02,17.54
520,-3.0,4.22,18.0
530,-8.25,5.21,18.11
540,-11.48,7.09,16.62
550,-14.85,9.47,16.77
560,-16.73,10.36,17.91
570,-16.83,10.35,20.44
580,-15.13,8.33,23.85
590,-12.54,4.3,24.81
600,-13.03,2.08,21.54
610,-20.66,5.26,14.08
620,-24.41,7.2,10.88
630,-18.58,3.69,10.37
640,-12.74,0.52,8.4
650,-8.96,-1.82,5.43
660,-7.63,-2.3,3.84
670,-8.44,-1.24,2.58
680,-9.5,0.1,2.09
690,-10.13,1.25,2.78
700,-10.13,1.52,4.17
710,-10.23,1.59,5.33
720,-10.74,2.22,5.67
730,-11.22,3.01,5.69
740,-11.45,3.46,5.97
750,-11.5,3.64,6.56
760,-11.38,4.38,7.38
770,-11.16,5.08,8.24
780,-10.85,6.82,8.63
790,-10.41,8.64,8.21
800,-9.04,9.78,7.72
810,-6.51,10.02,7.8
820,-2.97,9.49,8.38
830,1.49,8.75,10.03
840,5.73,6.55,12.94
850,8.49,3.72,15.86
860,9.49,1.91,17.22
870,9.0,2.35,16.01
880,7.6,4.14,12.65
890,6.33,5.23,9.11
900,6.21,5.63,6.96
910,7.5,5.12,6.73
920,10.12,4.16,9.0
930,12.95,3.32,13.0
940,15.07,2.93,16.85
950,15.8,2.67,19.25
960,15.18,2.58,19.48
970,13.89,2.82,17.85
980,12.82,3.3,15.59
990,12.37,3.07,13.56
1000,12.5,2.23,12.53
