timestamp,x,y,z
0,1.91,-2.68,9.44
10,0.96,-2.63,9.42
20,-0.13,-2.39,9.66
30,-1.05,-1.91,9.99
40,-1.81,-0.99,10.54
50,-2.49,-0.44,11.11
60,-3.14,-0.17,11.84
70,-3.43,0.08,12.57
80,-3.48,0.15,13.16
90,-3.34,0.29,13.61
100,-2.82,0.56,14.03
110,-2.51,0.61,14.42
120,-1.7,1.02,14.67
130,-0.45,1.2,14.41
140,0.97,0.68,13.42
150,2.16,-0.19,12.12
160,2.68,-0.93,10.91
170,2.91,-1.22,9.55
180,2.96,-1.53,7.92
190,2.99,-1.73,6.41
200,3.06,-1.62,5.32
210,3.22,-1.51,4.41
220,3.6,-1.44,3.62
230,4.26,-1.41,2.96
240,4.9,-1.53,2.44
250,5.49,-1.44,2.21
260,6.44,-1.17,2.2
270,7.51,-0.87,2.42
280,8.71,-0.34,2.89
290,9.93,0.41,3.52
300,11.06,1.51,3.95
310,12.07,3.09,4.46
320,13.44,5.28,4.87
330,15.54,7.28,5.38
340,18.34,7.73,5.53
350,20.98,6.39,5.52
360,22.68,5.21,5.8
370,23.34,4.42,6.57
380,23.34,4.4,8.83
390,23.92,6.27,7.04
400,23.37,8.56,6.06
410,22.12,9.63,5.39
420,20.43,11.52,5.34
430,18.16,14.05,5.48
440,15.22,16.49,5.71
450,11.56,18.26,6.22
460,6.84,18.41,6.63
470,1.13,17.44,6.64
480,-4.8,18.08,6.51
490,-10.5,20.76,7.39
500,-14.77,25.0,4.55
510,-21.06,27.98,9.41
520,-24.34,27.55,15.46
530,-23.8,22.74,22.29
540,-20.88,16.78,28.09
550,-17.56,12.02,31.52
560,-15.21,9.84,31.66
570,-14.38,9.75,28.58
580,-14.37,11.05,23.77
590,-13.91,12.86,19.0
600,-12.38,13.88,15.41
610,-10.16,14.19,13.16
620,-7.81,13.45,11.63
630,-5.65,12.38,10.47
640,-4.03,11.17,9.59
650,-3.28,10.29,8.65
660,-3.06,9.87,7.57
670,-2.85,10.43,6.61
680,-1.97,11.77,6.2
690,-0.08,13.58,6.36
700,3.21,15.27,7.07
710,7.5,15.82,8.44
720,12.09,15.3,10.27
730,16.18,13.63,11.51
740,18.79,11.41,12.28
750,21.25,10.33,12.48
760,23.43,9.92,12.27
770,25.49,9.71,12.2
780,26.84,8.26,11.82
790,26.67,5.66,10.83
800,24.88,3.14,9.03
810,21.89,2.15,6.65
820,18.29,2.52,5.0
830,14.58,3.17,4.24
840,11.12,3.5,4.06
850,8.17,3.55,4.38
860,5.92,3.31,5.4
870,4.4,2.83,6.76
880,3.51,2.06,8.21
890,3.12,1.26,9.53
900,2.79,0.3,10.38
910,2.35,-0.34,10.78
920,1.67,-0.56,10.81
930,0.94,-0.28,10.87
940,0.33,0.11,11.18
950,0.0,0.54,11.76
960,-0.07,0.77,12.39
970,0.07,0.83,12.91
980,0.36,0.64,13.09
990,0.69,0.39,12.87
1000,1.11,0.1,12.46
