timestamp,x,y,z
0,4.57,-2.94,7.61
10,4.63,-3.0,7.37
20,4.73,-3.12,7.34
30,4.88,-3.12,7.43
40,5.1,-3.13,7.48
50,5.23,-3.17,7.56
60,5.36,-3.15,7.82
70,5.45,-3.05,8.06
80,5.52,-2.99,8.25
90,5.64,-3.04,8.21
100,5.77,-3.21,8.04
110,5.96,-3.27,7.83
120,6.12,-3.4,7.82
130,6.18,-3.48,8.06
140,6.18,-3.48,8.28
150,6.09,-3.37,8.13
160,5.93,-3.23,7.43
170,5.82,-3.17,6.67
180,5.7,-3.29,6.43
190,5.57,-3.14,6.93
200,5.33,-2.98,7.88
210,4.93,-2.71,8.87
220,4.34,-2.45,9.37
230,3.64,-2.37,9.45
240,2.87,-2.16,9.27
250,1.96,-1.92,9.06
260,0.97,-1.77,8.96
270,-0.16,-1.55,9.04
280,-1.52,-1.11,9.48
290,-3.18,-0.57,9.94
300,-4.98,0.46,10.63
310,-6.62,1.93,11.39
320,-8.03,2.77,12.12
330,-8.99,3.06,12.92
340,-9.39,3.07,13.55
350,-9.67,3.0,13.76
360,-9.87,3.16,13.39
370,-10.09,3.53,12.74
380,-10.04,4.1,11.89
390,-9.49,4.53,11.22
400,-8.41,4.58,10.52
410,-6.97,4.4,9.89
420,-5.24,4.29,9.33
430,-3.26,4.1,9.06
440,-1.14,3.9,8.96
450,1.03,3.64,8.79
460,3.13,3.38,8.43
470,4.95,3.05,7.85
480,6.43,2.34,7.01
490,7.83,1.61,6.34
500,9.07,1.04,6.48
510,10.24,0.7,7.14
520,11.23,0.56,8.02
530,12.21,0.65,8.7
540,13.27,0.78,8.96
550,14.47,0.58,8.65
560,15.86,0.27,7.92
570,17.53,0.15,7.15
580,19.06,-0.19,6.55
590,20.43,-0.66,6.07
600,21.87,-1.49,5.53
610,23.03,-2.6,4.74
620,23.54,-3.62,3.67
630,23.13,-4.08,2.41
640,21.72,-3.64,1.41
650,19.61,-2.22,1.11
660,17.45,-0.65,1.74
670,15.65,0.55,3.05
680,14.17,1.39,4.56
690,13.05,2.0,6.28
700,11.83,2.24,7.84
710,10.42,2.77,8.96
720,8.6,3.33,9.68
730,6.35,3.64,9.92
740,3.7,3.4,10.04
750,0.54,3.33,10.24
760,-3.16,3.95,10.96
770,-7.75,5.21,12.49
780,-13.23,7.01,14.83
790,-15.73,8.47,15.45
800,-16.85,7.49,15.78
810,-17.26,5.38,15.55
820,-17.66,4.22,15.02
830,-18.44,4.62,14.6
840,-18.91,6.1,14.44
850,-18.23,7.37,14.77
860,-15.95,7.57,14.71
870,-12.45,6.75,14.27
880,-9.08,5.41,12.78
890,-6.51,4.22,10.92
900,-4.81,3.41,9.32
910,-3.71,3.65,8.3
920,-2.92,4.48,8.1
930,-1.68,5.3,8.4
940,0.28,5.68,8.54
950,2.56,5.16,8.99
960,4.69,4.28,9.7
970,6.37,3.56,9.74
980,7.55,2.97,8.91
990,8.37,2.31,8.05
1000,9.07,1.88,7.98
