timestamp,x,y,z
0,-7.18,-2.5,7.31
10,-8.8,-2.08,6.58
20,-10.38,-1.33,6.13
30,-11.76,-0.45,6.24
40,-12.98,0.7,7.08
50,-14.19,2.3,8.91
60,-13.75,4.24,10.2
70,-12.8,6.49,11.81
80,-11.34,8.56,13.58
90,-9.03,9.47,15.35
100,-5.89,9.4,16.42
110,-2.73,8.75,16.45
120,-0.02,8.06,15.32
130,2.14,8.15,13.58
140,4.18,8.92,11.61
150,6.37,9.9,9.75
160,8.56,11.38,8.39
170,10.76,12.53,7.35
180,13.34,13.38,6.61
190,17.49,14.64,6.77
200,23.53,15.39,7.67
210,29.24,13.23,8.54
220,32.83,9.28,9.77
230,33.22,4.83,11.01
240,32.13,2.2,11.19
250,30.01,2.62,8.67
260,26.92,3.75,5.76
270,23.37,4.89,5.09
280,20.49,5.63,3.82
290,18.01,6.12,4.18
300,15.87,6.52,5.34
310,14.14,7.04,6.85
320,12.78,7.49,8.42
330,11.6,7.91,9.82
340,10.38,7.67,11.07
350,9.0,6.97,12.0
360,7.42,6.2,12.75
370,5.71,5.76,13.38
380,3.79,5.51,14.04
390,0.65,4.59,12.94
400,-2.07,6.03,13.84
410,-5.56,9.62,14.89
420,-9.08,13.2,15.71
430,-11.79,15.57,16.57
440,-14.52,15.54,18.53
450,-15.85,14.75,20.84
460,-16.28,13.41,22.84
470,-16.27,11.61,23.78
480,-15.45,10.87,23.67
490,-14.1,10.26,22.51
500,-12.53,9.25,20.73
510,-10.72,8.77,18.59
520,-8.93,8.54,16.35
530,-7.38,8.36,14.26
540,-6.21,8.05,12.36
550,-5.5,7.55,10.49
560,-5.3,7.51,9.18
570,-5.33,7.4,8.05
580,-5.43,7.66,7.54
590,-5.3,8.46,7.75
600,-4.72,9.47,8.33
610,-3.67,10.32,8.84
620,-2.22,10.9,9.05
630,-0.35,11.28,9.03
640,1.94,11.54,9.12
650,4.62,12.01,9.69
660,8.06,12.49,10.67
670,12.29,13.09,12.29
680,17.08,12.71,13.96
690,21.44,11.06,15.0
700,24.43,8.85,15.29
710,25.67,6.62,14.52
720,25.15,5.06,12.62
730,23.39,4.61,10.02
740,20.92,4.75,7.25
750,18.78,4.05,5.19
760,17.41,2.97,4.56
770,16.37,1.89,5.05
780,14.95,0.74,5.64
790,12.98,-0.09,6.05
800,10.58,-0.39,6.22
810,8.13,0.02,6.31
820,5.96,0.72,6.45
830,4.23,1.33,6.78
840,3.02,1.56,7.44
850,2.22,1.38,8.36
860,1.51,1.15,9.64
870,1.2,1.46,10.54
880,1.01,2.1,11.29
890,0.98,2.58,11.7
900,1.09,2.98,12.19
910,1.33,2.47,12.6
920,1.74,1.64,12.87
930,2.18,0.78,12.84
940,2.53,0.35,12.67
950,2.82,0.06,12.31
960,2.94,-0.14,11.84
970,2.87,-0.46,11.32
980,2.66,-0.88,10.9
990,2.4,-1.24,10.54
1000,2.07,-1.45,10.44
